	Raman shift	Intensity	Baseline	Corrected Intensity	intensity_norm	intensity_sub	linear_baseline	intensity_final	Curve 1	Curve 2	Curve 3	Fit Sum
390.0	1409.19	32766.7	20773.87858166615	11992.82141833385	0.5211679894101605	0.45811928815050584	-0.04014579096587904	0.4982650791163849	0.43597112155375317	0.042863864420820984	0.03358330794137664	0.5124182939159507
391.0	1412.41	32423.6	20777.77860171654	11645.821398283457	0.5060885267493989	0.4461711604659779	-0.041015931359532666	0.48718709182551057	0.40799836845734766	0.04781145832812014	0.034761141740817514	0.4905709685262853
392.0	1415.64	32076.4	20781.53467185844	11294.86532814156	0.4908371473560955	0.43034670482536436	-0.041888774052545465	0.47223547887790984	0.38154704853039695	0.0531352544096999	0.036005101538903656	0.4706874044790005
393.0	1418.86	31722.2	20785.14772790057	10937.05227209943	0.47528778624269624	0.41544890436933896	-0.042758914446199024	0.45820781881553796	0.3567745729731608	0.05879761876370066	0.03731188274113588	0.45288407447799733
394.0	1422.08	31402.3	20788.618716946505	10613.681283053495	0.46123516240081974	0.399169210931743	-0.04362905483985264	0.44279826577159564	0.33357111391189787	0.06480485594746815	0.038690012201666374	0.4370659820610324
395.0	1425.3	31174.3	20791.948597036866	10382.351402963133	0.45118233794094076	0.3842837681415213	-0.04449919523350627	0.4287829633750276	0.31189652204395285	0.07114202109539489	0.040144692358074476	0.4231832354974222
396.0	1428.52	30856.8	20795.138336825938	10061.661663174062	0.4372462322423405	0.3786070924386106	-0.04536933562715988	0.4239764280657705	0.2916994675167582	0.07778855182060714	0.041681599740769154	0.41116961907813443
397.0	1431.74	30643.6	20798.188915350358	9845.41108464964	0.4278487038970869	0.36600663666660277	-0.04623947602081351	0.4122461126874163	0.2729202930204183	0.08471806184845813	0.04330693667485847	0.4009452915437349
398.0	1434.96	30211.6	20801.10132170843	9410.49867829157	0.40894886235982664	0.34831468163074125	-0.04710961641446713	0.3954242980452084	0.2554933365877576	0.0918982359016664	0.04502748951744142	0.3924190620068654
399.0	1438.17	30124.0	20803.876554843842	9320.123445156158	0.4050214563806421	0.3455580636506402	-0.04797705450876159	0.3935351181594018	0.2393970635186133	0.09926759456889275	0.04684486512528005	0.3855095232127861
400.0	1441.39	29822.4	20806.51562311078	9015.884376889222	0.3918002419576287	0.32965989554387415	-0.0488471949024152	0.37850709044628933	0.22445908808883788	0.10682814991088477	0.048778524481213933	0.3800657624809366
401.0	1444.6	29710.4	20809.019544183553	8901.380455816448	0.38682428373700106	0.32475949650999897	-0.049714632996709605	0.37447412950670855	0.21069918663358345	0.1144837377346069	0.05082536251358841	0.3760082868817788
402.0	1447.81	29493.9	20811.389344752362	8682.510655247639	0.37731293274409217	0.32245903552089056	-0.05058207109100405	0.3730411066118946	0.1979961938790444	0.12220344646170724	0.05300098375432833	0.37320062409508
403.0	1451.02	29396.9	20813.626060408773	8583.273939591229	0.3730004363122471	0.32059920260368624	-0.05144950918529851	0.37204871178898474	0.1862779542496628	0.1299285733832585	0.05531616184480376	0.3715226894777251
404.0	1454.23	29244.2	20815.730735426856	8428.469264573145	0.3662731418403115	0.3119889904013867	-0.052316947279592955	0.3643059376809797	0.17547384589297843	0.137596518950983	0.05778278987759043	0.3708531547215519
405.0	1457.44	29208.9	20817.70442266395	8391.195577336053	0.36465335180445213	0.3148932059054981	-0.053184385373887415	0.3680775912793855	0.1655153983471883	0.14514155949019897	0.06041401833352396	0.37107097617091117
406.0	1460.65	29181.9	20819.54818340585	8362.351816594153	0.36339989823681185	0.31016056098038836	-0.05405182346818186	0.36421238444857024	0.1563367905487661	0.15249573050119958	0.06322441244431005	0.3720569334942757
407.0	1463.85	29165.9	20821.263087329553	8344.636912670449	0.36263006764078565	0.3114730388729384	-0.05491655926311708	0.3663895981360555	0.14790054912698208	0.15956818140234297	0.06622044702702333	0.3736891775563484
