;Raman shift;Intensity;Baseline;Corrected Intensity;intensity_norm;intensity_sub;linear_baseline;intensity_final
382;1383.34;37284.2;20737.38796905668;16546.812030943318;0.7190692212035508;0.6845235837878688;-0.033160347122417534;0.7176839309102864
383;1386.58;36651.0;20742.471788450282;15908.528211549718;0.6913315368653297;0.6525246539482561;-0.03403589211478949;0.6865605460630456
384;1389.81;35937.7;20747.404628126584;15190.295371873413;0.660119534958071;0.6161369474958447;-0.03490873480780229;0.651045682303647
385;1393.04;35202.1;20752.187317778164;14449.912682221835;0.6279449745022706;0.5767537165945937;-0.03578157750081507;0.6125352940954089
386;1396.28;34725.0;20756.820702287896;13968.179297712104;0.6070104495327853;0.5545498885347693;-0.03665712249318704;0.5912070110279564
387;1399.51;34139.1;20761.305640988572;13377.794359011426;0.5813542906734283;0.528764732473194;-0.03752996518619984;0.5662946976593939
388;1402.74;33674.8;20765.643007181152;12909.156992818851;0.5609888749483445;0.5068159951947615;-0.03840280787921262;0.5452188030739741
389;1405.96;33352.0;20769.83368754438;12582.166312455622;0.546778951403561;0.49102500683375794;-0.03927294827286625;0.5302979551066241
390;1409.19;32766.7;20773.87858166615;11992.82141833385;0.5211679894101605;0.45811928815050584;-0.04014579096587904;0.4982650791163849
391;1412.41;32423.6;20777.77860171654;11645.821398283457;0.5060885267493989;0.4461711604659779;-0.041015931359532666;0.48718709182551057
392;1415.64;32076.4;20781.53467185844;11294.86532814156;0.4908371473560955;0.43034670482536436;-0.041888774052545465;0.47223547887790984
393;1418.86;31722.2;20785.14772790057;10937.05227209943;0.47528778624269624;0.41544890436933896;-0.042758914446199024;0.45820781881553796
394;1422.08;31402.3;20788.618716946505;10613.681283053495;0.46123516240081974;0.399169210931743;-0.04362905483985264;0.44279826577159564
395;1425.3;31174.3;20791.948597036866;10382.351402963133;0.45118233794094076;0.3842837681415213;-0.04449919523350627;0.4287829633750276
396;1428.52;30856.8;20795.138336825938;10061.661663174062;0.4372462322423405;0.3786070924386106;-0.04536933562715988;0.4239764280657705
397;1431.74;30643.6;20798.188915350358;9845.41108464964;0.4278487038970869;0.36600663666660277;-0.04623947602081351;0.4122461126874163
398;1434.96;30211.6;20801.10132170843;9410.49867829157;0.40894886235982664;0.34831468163074125;-0.04710961641446713;0.3954242980452084
399;1438.17;30124.0;20803.876554843842;9320.123445156158;0.4050214563806421;0.3455580636506402;-0.04797705450876159;0.3935351181594018
400;1441.39;29822.4;20806.51562311078;9015.884376889222;0.3918002419576287;0.32965989554387415;-0.0488471949024152;0.37850709044628933
401;1444.6;29710.4;20809.019544183553;8901.380455816448;0.38682428373700106;0.32475949650999897;-0.049714632996709605;0.37447412950670855
402;1447.81;29493.9;20811.389344752362;8682.510655247639;0.37731293274409217;0.32245903552089056;-0.05058207109100405;0.3730411066118946
403;1451.02;29396.9;20813.626060408773;8583.273939591229;0.3730004363122471;0.32059920260368624;-0.05144950918529851;0.37204871178898474
404;1454.23;29244.2;20815.730735426856;8428.469264573145;0.3662731418403115;0.3119889904013867;-0.052316947279592955;0.3643059376809797
405;1457.44;29208.9;20817.70442266395;8391.195577336053;0.36465335180445213;0.3148932059054981;-0.053184385373887415;0.3680775912793855
406;1460.65;29181.9;20819.54818340585;8362.351816594153;0.36339989823681185;0.31016056098038836;-0.05405182346818186;0.36421238444857024
407;1463.85;29165.9;20821.263087329553;8344.636912670449;0.36263006764078565;0.3114730388729384;-0.05491655926311708;0.3663895981360555
408;1467.06;29157.4;20822.850212474412;8334.54978752559;0.36219171485062085;0.30467804740289284;-0.05578399735741154;0.36046204476030436
409;1470.26;29554.1;20824.31064522441;8729.789354775588;0.3793675072195563;0.30782554501046283;-0.056648733152346815;0.36447427816280964
410;1473.47;29901.4;20825.645480298084;9075.754519701917;0.3944019985307476;0.3092039503257579;-0.057516171246641275;0.3667201215723992
